No,Kabupaten/Kota,Pengeluaran Perkapita untuk Makanan (persen)
1,Kab. Lampung Barat,58.53
2,Kab. Lampung Selatan,56.99
3,Kab. Lampung Tengah,54.73
4,Kab. Lampung Timur,52.42
5,Kab. Lampung Utara,55.12
6,Kab. Mesuji,51.9
7,Kab. Pesawaran,57.29
8,Kab. Pesisir Barat,54.43
9,Kab. Pringsewu,52.24
10,Kab. Tanggamus,59.41
11,Kab. Tulang Bawang,53.1
12,Kab. Tulang Bawang Barat,53.08
13,Kab. Way Kanan,57.01
14,Kota Bandar Lampung,42.03
15,Kota Metro,45.09
16,Kab. Banyuasin,60.06
17,Kab. Empat Lawang,57.65
18,Kab. Lahat,54.36
19,Kab. Muara Enim,52.8
20,Kab. Musi Banyuasin,54.21
21,Kab. Musi Rawas,58.38
22,Kab. Musi Rawas Utara,57.91
23,Kab. Ogan Ilir,58.28
24,Kab. Ogan Komering Ilir,58.42
25,Kab. Ogan Komering Ulu,52.06
26,Kab. Ogan Komering Ulu Selatan,60.51
27,Kab. Ogan Komering Ulu Timur,52.51
28,Kab. Penukal Abab Lematang Ilir (PALI),54.7
29,Kota Lubuklinggau,49.16
30,Kota Pagar Alam,54.83
31,Kota Palembang,47.39
32,Kota Prabumulih,46.47
33,Kab. Bengkulu Selatan,50.55
34,Kab. Bengkulu Tengah,55.49
35,Kab. Bengkulu Utara,56.03
36,Kab. Kaur,56.21
37,Kab. Kepahiang,52.5
38,Kab. Lebong,58.32
39,Kab. Mukomuko,48.38
40,Kab. Rejang Lebong,54.83
41,Kab. Seluma,56.12
42,Kota Bengkulu,41.75
43,Kab. Batanghari,50.84
44,Kab. Bungo,54.04
45,Kab. Kerinci,56.57
46,Kab. Merangin,47.88
47,Kab. Muaro Jambi,54.18
48,Kab. Sarolangun,47.85
49,Kab. Tanjung Jabung Barat,52.95
50,Kab. Tanjung Jabung Timur,57.66
51,Kab. Tebo,55.41
52,Kota Jambi,43.13
53,Kota Sungai Penuh,49.66
54,Kab. Bangka,52.12
55,Kab. Bangka Barat,53.03
56,Kab. Bangka Selatan,55.73
57,Kab. Bangka Tengah,55.27
58,Kab. Belitung,47.76
59,Kab. Belitung Timur,48.75
60,Kota Pangkalpinang,45.17
